15464,441317,226150,139163
15484,200927,6800,158359
15531,400851,10797,324960
15590,92807,4278,73614
15596,2458962,226154,1723465
15618,2940819,162122,2177324
15629,259809,84542,121630
1562,3934659,52357,3060803
15693,1381596,104966,995934
15697,3116648,291521,2047103
15726,403202,184374,109321
15765,17200,5938,13130
15810,1665518,111092,1229711
15840,2412345,164237,1756208
15864,6184,2094,4636
15871,4757086,115367,3730780
15928,660728,265346,189433
1592,2392669,413506,1468086
15933,1824081,350388,1066381
15997,1699280,210208,1063888
1604,1367675,18952,1056822
16085,1955236,203129,1341253
16097,1034177,109490,719976
16125,863642,151279,472247
16131,861925,104380,502874
16134,848625,120687,549274
16136,53513,6433,40498
16162,71998,17983,56305
16201,1722940,277142,991806
16231,1631444,19585,1359950
16296,1690379,216021,1048830
1629,551272,6364,474624
16323,1745938,155703,1234168
16329,802719,119386,515679
16352,3024902,175769,2298916
16356B,3451071,431437,2197338
16418,2913814,332661,1845697
16481,1555676,222536,1211999
16490,1412849,106422,1035983
16535,6307,7500,4571
16590,5429,1681,3949
16623,323138,140286,260972
16631,2079606,47638,1706404
16657,9229,1559,7371
16685,2074687,289353,1332741
16696B,475450,5904,399878
16735B,1155035,306340,520024
16736,1647153,364849,881319
16764,960186,140967,620009
16777,2918778,407227,1871891
16792,1558823,148835,1045788
16818,3475032,48540,2726672
16837,1788306,25352,1418028
1685,1770026,204278,1086921
16898,1370204,211345,886924
16933,463176,143706,201289
16949,3523120,49952,2709595
1695,2335251,55844,1862501
16977,3668633,320449,2536899
16978,224041,10366,178428
1702,1328565,249582,906699
17126,2523800,506889,1767920
17179,917287,26088,706411
17184,1934208,111710,1435407
17191,1818505,319699,1009435
17232,1271319,147341,798176
17270,1476800,195767,940208
17295,2791047,416671,1674621
17370,305104,9896,234584
17387,786468,230959,371342
17398,2937229,163205,2199775
17431,2509463,130653,1912455
17480,1211517,16070,967153
17516B,1618741,350885,786409
17516,1047216,30864,833313
17633,150874,1972,123230
17649,3767263,326129,2715084
17658B,375794,11118,298504
17681B,1850180,310136,1046205
17694,1856346,107688,1394489
1770,132857,2039,105660
17767B,2214583,233742,1545994
17796,403212,86531,233712
17860,2200235,31032,1714555
17899,32110,1750,27534
1791,5691062,482578,3710174
17955,1733410,137003,1264064
17978,1429120,227927,898153
17980,19739,1327,16045
18000,450169,6092,360414
18027,1911945,47879,1492267
18051,2790,1242,2167
18052,278719,25185,221670
18061,51032,11240,40804
18083,146224,7129,117786
18087,3213693,47018,2501623
180,683434,26202,572039
1812,1121002,184440,648566
18150,2044751,28954,1642284
18192,910835,112534,604112
18205,1965474,159516,1427672
18227,79289,3182,63526
1822,3648728,173134,2757175
18247,1266324,145591,866166
1824,1491222,22230,1144367
18263,2371729,32616,1856257
18304,562837,223110,160359
18329,9015,6350,7725
18343,17310,1605,14093
18377,1436892,21210,1118786
18396,1058639,14435,826326
18410,821958,253422,318040
18436,29267,22601,23066
18447,400510,162663,124207
1846,3421706,48289,2664907
18475B,575388,23080,457831
18479,247980,135035,35634
1847,2696751,263816,1851714
18494,2880030,38388,2263522
18536,446552,131978,192075
18570E,339244,11153,268481
18603,2186978,383882,1182878
18604,2117507,28993,1651206
18618,58692,3457,43663
18651,258347,90031,102561
18661,190749,16055,151052
18708,99261,8406,69462
18746,122148,8195,96883
18747,361164,201072,34427
